study_hours_per_day,sleep_hours,attendance_pct,previous_gpa,stress_level,extracurricular_hrs,screen_time_hrs,exercise_freq,gender,has_part_time_job,final_score
4.609434159508862,6.322073530219737,78.79806765443024,3.1125583635192013,5.667204609349096,3.352554071456372,3.3804248724027848,2.7275233070646436,Other,1,94.65
1.920031787519009,6.001183433319346,88.4282760333927,2.973328518876636,7.472686325221881,4.7982469679982245,4.120472345870025,4.605365590555683,Male,0,74.72
5.5009023916129145,7.651014735175161,79.09981884805312,3.432021813037115,7.431658719494177,0.05545876833262753,1.5184881118049591,6.3426892510588155,Male,1,92.62
5.881129432782428,7.377781622942508,100.0,3.303366588705863,4.098086346959765,2.4294036752249006,1.2244928765994816,3.269479727560789,Male,0,100.0
0.09792962269232719,4.892812678584509,96.44681178705628,1.5070887329450382,5.388034898987982,4.65830659075824,4.364595564675971,2.9901416280429585,Female,0,63.02
1.3956409862753638,8.684017381845608,70.38708352924476,3.272621102214228,1.271795935695712,3.131200296685188,2.484438865370076,3.383792048535102,Female,1,80.5
4.255680806334571,6.85870813697375,70.22958849289397,2.4982602952479582,5.1981860170438585,5.93466762415496,1.0949765659861606,2.0131172985250623,Female,0,80.75
3.367514815312836,5.333603357176419,82.04545079228029,2.2891356292756506,3.412021144336162,0.0,5.9306825846281255,4.14746755665723,Female,1,61.23
3.9663976849914224,8.783176171530812,62.42971229361473,2.905763294813218,4.627235148078967,0.0,2.736410654145815,3.661764613621693,Male,0,85.86
2.2939121448528397,7.938513357394231,92.4943245979873,3.205485554515006,1.6292562703666102,4.539373033245436,6.299623207730716,2.369294687935964,Female,0,94.13
5.758795949725657,5.103187012078129,80.42400782765375,2.179632694856588,5.8097445734381505,4.73161442986555,4.056941582218855,4.353100228563718,Female,0,75.91
5.555583870857896,9.665774260386586,78.84688366287799,3.3522882085287757,1.6068626088487843,2.6134999863363335,4.589517724110607,3.028484652518081,Female,0,100.0
4.132061395122432,7.988196052549289,85.30430501656224,3.3816694237658,5.296569213583173,3.8007888000914485,3.5770005078062943,1.5449150422884368,Male,1,82.81
6.254482413936065,6.984705826562431,100.0,3.0234880981497487,2.546988813954901,4.490413955262813,0.0,3.5274066681344403,Male,0,100.0
4.935018684504091,9.38532820843267,77.56433028281258,2.566188184886476,3.300717929728231,1.3722735882965071,1.7264270178925916,3.3554887550989894,Male,0,96.92
2.2814150742335233,7.238946675744461,73.30439443692923,2.510310997905354,7.309464205090325,1.5863032499014016,3.748581080562551,4.440627219165937,Female,0,72.47
4.737501568164998,6.957875387343952,97.63079434983868,3.512966065790114,6.175835891827244,3.3794523583972733,4.729458274585409,4.247320425112273,Male,0,88.65
2.082234798342002,6.009549825967016,89.51325623986703,2.2443886567520477,7.298406275341086,4.80817791978744,0.42065195522375864,2.836160504056857,Male,1,67.37
5.756900602614545,7.872775658960618,70.18530239424416,3.532235230409589,8.119454265002581,0.6680861472840305,3.8927965842790777,2.2918695953797044,Female,0,87.27
3.9001481780274943,7.71490445098597,75.0777967298853,2.917400420434782,3.4543225857204702,2.6041047361299614,1.755471825571937,3.002615625086699,Female,1,89.99
3.6302752729094787,7.022020209834567,77.93071373908198,2.9520827501785716,7.997943324881744,2.5115267365911227,4.469240330179308,3.544963319502984,Female,0,74.51
2.6381409111921172,5.815020469198595,80.42719416907474,2.1459561472933375,2.068988687642197,3.8359182100855285,3.96119842860035,3.7256315666475737,Female,0,82.1
6.4450826773480605,7.19489478124911,54.65100223591329,2.926641684935707,6.492200669089806,2.9826032599823313,5.487003204859147,3.4521183122041768,Female,0,77.66
3.6909410358623957,6.895301821356793,51.8627308829766,3.306792758005688,4.013324570800057,1.9082328323942812,6.1336458603750375,2.8638570847923464,Male,0,83.43
3.1433443556737855,4.999788521898698,61.68914966996319,2.3317949560740097,3.1393997147213675,5.497131561514811,4.917979798548058,4.495225530034835,Female,0,71.2
3.295732899023541,4.7922814730137215,60.528923354829864,3.249317933625923,6.228939734608885,1.92148503675836,5.720787177941149,1.988547158860085,Male,1,60.03
5.064618371106698,7.847730068214654,65.34263979041246,3.0445061268395115,6.889903050338426,2.4158072739570926,3.299315048152323,6.719105178232233,Male,0,91.49
4.730888128728156,3.0971675274224664,84.52065963135007,2.678122193083847,6.8305367732930895,0.0,9.646234822534291,4.144605570230639,Other,1,57.3
4.825465223191976,7.30811579044189,72.46606265512892,3.4273365432456524,5.429719777789584,1.5727482463082096,1.5623618070102379,1.3087718952449845,Female,0,90.55
4.8616420060157655,6.282875413369263,77.94591907515283,1.898871615510722,5.263914602658478,4.0321521526780995,2.9444884441813572,3.2778439964046235,Female,0,74.49
8.283295201740923,8.962369910319865,56.63544884936607,3.1733403743718545,6.053733171399805,3.6412039127097198,5.802717165493785,4.1590252770481975,Female,0,100.0
3.1871699672307687,6.259797686269186,68.07536695618582,3.809717579036646,5.607528151034382,4.1990339801315235,5.505442609721985,2.4759463417204355,Female,0,88.8
2.975514541856925,7.989226321377844,83.8088649261726,3.7199715695503306,6.082711679171961,4.10196457189134,4.974778038284698,0.7572839286349398,Male,0,80.82
2.3724545435042446,6.404629238143313,83.92428687265203,3.194903360269261,5.407998922221428,7.175428072590308,5.350637315986216,1.441404087601657,Male,1,74.6
5.2319588451509915,7.170622230229215,64.13139257718137,2.849159611934577,6.685567649012728,1.50428234510618,0.0,3.813139416518327,Male,1,81.45
6.257944585441783,8.105254796380077,77.4249357956933,2.6820987217261845,1.7455843868991443,0.0,7.1785973890756685,0.36807529114744275,Male,0,91.68
3.7721050846902497,6.30616642551313,100.0,2.848537103047179,4.737453049827227,0.8988940078569523,3.59221808226677,0.8259831422309665,Male,0,84.65
